# participant_id: P1
# gesture: baseline
# trial_number: 1
# stream_name: Myo_EMG
# stream_type: emg
# timestamp: 20260420_125938
# samples: 4986
# duration_sec: 30.278
# nominal_sample_rate: 200.0
# effective_sample_rate: 164.64
#
timestamp,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8
1294670.677472,-2.000000,-5.000000,-8.000000,-3.000000,-3.000000,-1.000000,-3.000000,-7.000000
1294670.677481,-1.000000,-4.000000,-2.000000,3.000000,-3.000000,-2.000000,-3.000000,-5.000000
1294670.685812,-1.000000,-5.000000,7.000000,2.000000,1.000000,-1.000000,-1.000000,-2.000000
1294670.685822,-1.000000,1.000000,-1.000000,0.000000,1.000000,-3.000000,3.000000,-1.000000
1294670.700244,-4.000000,0.000000,1.000000,-3.000000,-3.000000,0.000000,0.000000,-1.000000
1294670.700283,0.000000,-4.000000,-3.000000,-1.000000,0.000000,1.000000,-3.000000,1.000000
1294670.730432,-2.000000,-3.000000,0.000000,1.000000,-1.000000,-1.000000,-2.000000,-1.000000
1294670.730443,0.000000,-1.000000,-4.000000,-2.000000,-3.000000,-3.000000,0.000000,-1.000000
1294670.737868,0.000000,-7.000000,4.000000,0.000000,0.000000,0.000000,-3.000000,1.000000
1294670.737882,1.000000,4.000000,8.000000,-4.000000,2.000000,0.000000,-1.000000,-2.000000
1294670.767915,1.000000,12.000000,-3.000000,-2.000000,-5.000000,-1.000000,-1.000000,-3.000000
1294670.767944,-3.000000,-7.000000,-10.000000,-3.000000,-4.000000,-4.000000,1.000000,-1.000000
1294670.775505,-1.000000,-4.000000,-2.000000,-2.000000,0.000000,-2.000000,-2.000000,-1.000000
1294670.775516,-1.000000,-1.000000,-2.000000,-1.000000,1.000000,-1.000000,0.000000,-1.000000
1294670.797506,0.000000,-6.000000,-2.000000,-5.000000,-8.000000,-4.000000,-2.000000,-3.000000
1294670.797528,1.000000,-3.000000,4.000000,0.000000,1.000000,-1.000000,-1.000000,-3.000000
1294670.797962,-2.000000,-10.000000,-7.000000,-2.000000,3.000000,0.000000,0.000000,-1.000000
1294670.797973,4.000000,10.000000,4.000000,0.000000,-2.000000,1.000000,2.000000,0.000000
1294670.799096,-1.000000,3.000000,-1.000000,0.000000,-2.000000,0.000000,-4.000000,-1.000000
1294670.799105,1.000000,-1.000000,-7.000000,-3.000000,-3.000000,-3.000000,-3.000000,-1.000000
1294670.800778,0.000000,-9.000000,-1.000000,-3.000000,-2.000000,-3.000000,1.000000,-2.000000
1294670.800792,-3.000000,0.000000,1.000000,-1.000000,1.000000,4.000000,1.000000,-6.000000
1294670.805595,-1.000000,0.000000,-1.000000,1.000000,2.000000,-2.000000,-2.000000,1.000000
1294670.805610,1.000000,1.000000,-3.000000,-4.000000,-5.000000,-2.000000,0.000000,-2.000000
1294670.828001,0.000000,-4.000000,1.000000,-1.000000,-1.000000,-4.000000,0.000000,1.000000
1294670.828030,-3.000000,-4.000000,-3.000000,-1.000000,-2.000000,-2.000000,2.000000,2.000000
1294670.842592,-3.000000,1.000000,-3.000000,-1.000000,-3.000000,2.000000,0.000000,1.000000
1294670.842602,0.000000,0.000000,0.000000,-2.000000,-1.000000,-3.000000,-1.000000,0.000000
1294670.850025,-3.000000,-6.000000,-5.000000,0.000000,4.000000,-1.000000,0.000000,0.000000
1294670.850048,-3.000000,-1.000000,-1.000000,-3.000000,0.000000,2.000000,-1.000000,-6.000000
1294670.887632,4.000000,2.000000,-3.000000,-2.000000,-5.000000,1.000000,1.000000,-3.000000
1294670.887647,2.000000,-10.000000,1.000000,-2.000000,1.000000,2.000000,-1.000000,2.000000
1294670.902527,-2.000000,-2.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,-1.000000
1294670.902539,-4.000000,0.000000,-4.000000,-4.000000,-4.000000,-3.000000,-2.000000,-2.000000
1294670.917873,-4.000000,-5.000000,-1.000000,-1.000000,1.000000,-3.000000,0.000000,-1.000000
1294670.917883,-1.000000,-1.000000,0.000000,-2.000000,-1.000000,1.000000,-4.000000,-1.000000
1294670.925961,1.000000,7.000000,-7.000000,-3.000000,-4.000000,-3.000000,2.000000,1.000000
1294670.925990,-1.000000,-1.000000,4.000000,-2.000000,-1.000000,-3.000000,0.000000,-2.000000
1294670.955285,-1.000000,-4.000000,-8.000000,1.000000,-1.000000,-3.000000,-3.000000,-1.000000
1294670.955305,-1.000000,-3.000000,1.000000,1.000000,-1.000000,-4.000000,-3.000000,-1.000000
1294670.970433,-2.000000,3.000000,1.000000,1.000000,1.000000,0.000000,1.000000,-4.000000
1294670.970445,0.000000,0.000000,8.000000,2.000000,2.000000,0.000000,1.000000,0.000000
1294671.000523,-5.000000,-7.000000,-3.000000,2.000000,2.000000,-1.000000,-3.000000,-10.000000
1294671.000553,6.000000,3.000000,2.000000,-2.000000,0.000000,-2.000000,3.000000,21.000000
1294671.037370,-5.000000,0.000000,-3.000000,-3.000000,2.000000,0.000000,-2.000000,-2.000000
1294671.037382,-1.000000,5.000000,1.000000,-2.000000,-2.000000,-4.000000,-2.000000,-1.000000
1294671.038562,1.000000,0.000000,-3.000000,-2.000000,-2.000000,-3.000000,-1.000000,2.000000
1294671.038581,0.000000,0.000000,-3.000000,1.000000,0.000000,-2.000000,-1.000000,-4.000000
1294671.040430,-4.000000,-1.000000,0.000000,-2.000000,1.000000,-3.000000,-1.000000,-3.000000
1294671.040438,2.000000,4.000000,-3.000000,-2.000000,-2.000000,-3.000000,2.000000,2.000000
1294671.041371,-1.000000,-7.000000,0.000000,-1.000000,-2.000000,-1.000000,-1.000000,-6.000000
1294671.041379,-3.000000,-5.000000,-5.000000,-4.000000,0.000000,-3.000000,-6.000000,-22.000000
1294671.052892,-1.000000,-2.000000,1.000000,-1.000000,-4.000000,-2.000000,-1.000000,-1.000000
1294671.052921,-1.000000,-7.000000,-2.000000,1.000000,-1.000000,-2.000000,-1.000000,-1.000000
1294671.060488,-1.000000,0.000000,-2.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000
1294671.060498,2.000000,1.000000,-1.000000,-3.000000,-7.000000,-1.000000,-1.000000,-3.000000
1294671.074998,-3.000000,-3.000000,-1.000000,1.000000,1.000000,-1.000000,1.000000,-4.000000
1294671.075008,-2.000000,2.000000,-3.000000,-2.000000,0.000000,0.000000,-1.000000,1.000000
1294671.090100,-3.000000,2.000000,-1.000000,-5.000000,-4.000000,-5.000000,1.000000,-3.000000
1294671.090129,-3.000000,-2.000000,-1.000000,-3.000000,-2.000000,-2.000000,-1.000000,0.000000
1294671.112746,-4.000000,-1.000000,-3.000000,-1.000000,3.000000,-1.000000,-3.000000,1.000000
1294671.112775,-3.000000,4.000000,-5.000000,-3.000000,-2.000000,1.000000,-1.000000,1.000000
1294671.120301,-2.000000,-4.000000,3.000000,0.000000,1.000000,-1.000000,-1.000000,2.000000
1294671.120336,-3.000000,-9.000000,-4.000000,2.000000,0.000000,-3.000000,1.000000,-4.000000
1294671.143319,0.000000,-3.000000,-1.000000,1.000000,-2.000000,-1.000000,0.000000,-1.000000
1294671.143330,-6.000000,-2.000000,-7.000000,-3.000000,-3.000000,-1.000000,-3.000000,4.000000
1294671.143759,1.000000,1.000000,1.000000,0.000000,-2.000000,-1.000000,-2.000000,-1.000000
1294671.143773,-3.000000,-6.000000,-6.000000,-2.000000,1.000000,-2.000000,1.000000,-3.000000
1294671.144914,1.000000,2.000000,0.000000,-1.000000,0.000000,2.000000,1.000000,-2.000000
1294671.144924,1.000000,3.000000,-5.000000,-1.000000,-3.000000,-1.000000,-4.000000,-1.000000
1294671.150060,-1.000000,-4.000000,3.000000,1.000000,-1.000000,2.000000,0.000000,-4.000000
1294671.150074,-1.000000,0.000000,-7.000000,-4.000000,-2.000000,-1.000000,-2.000000,0.000000
1294671.158170,1.000000,2.000000,-2.000000,-4.000000,-3.000000,0.000000,0.000000,2.000000
1294671.158180,-2.000000,-10.000000,1.000000,2.000000,2.000000,2.000000,0.000000,-4.000000
1294671.158917,4.000000,14.000000,6.000000,1.000000,1.000000,2.000000,-1.000000,0.000000
